names,num_ppl,inside
GPC_02_MMCC_Ext_001a,10+,no
GPC_02_MMCC_Ext_001c,10+,no
GPC_02_MMCC_Ext_002,5,no
GPC_02_MMCC_Ext_003,6,no
GPC_02_MMCC_Ext_004,0,no
GPC_02_MMCC_Ext_005,0,no
GPC_02_MMCC_Ext_006,0,no
GPC_02_MMCC_EXT_007,0,no
GPC_02_MMCC_Ext_008,0,no
GPC_047_001_001_001,1,yes
GPC_047_003_001,10+,no
GPC_047_003_002,10+,yes
GPC_047_006_001_001,5,yes
GPC_047_007_001_001,3,yes
GPC_047_007_002_001,3,yes
GPC_047_007_003_001,4,yes
GPC_047_007_004_001,2,yes
GPC_047_007_005_001,2,yes
Image_29,10+,no